127.0.0.1 - - [06/Apr/2022:01:26:35 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:28:35 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:31:55 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:31:58 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:32:00 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:32:02 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:32:04 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:09 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:12 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:14 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:15 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:19 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:23 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:27 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:30 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:35 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:37 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:33:39 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:34:16 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:35:29 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:35:32 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:35:46 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:35:48 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:36:10 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:36:14 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:36:18 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:36:23 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:36:26 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:36:28 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:36:39 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:01 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1185
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:03 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:05 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:10 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:12 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:18 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:21 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:24 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:36 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:40 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1050
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:41 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1186
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:43 -0300] "POST /Navegacao/faces/produto.xhtml HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:46 -0300] "POST /Navegacao/faces/menu.xhtml HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [06/Apr/2022:02:37:49 -0300] "POST /Navegacao/faces/login.xhtml HTTP/1.1" 200 1050
